"(4665712499, 13)","[[0, 0, 2675926585, 2675926592, 2694966193], nan, 4665712499, 13, [294985247.0, 294985247.0, 294985247.0, nan, 1093469.0], [0, 1, 2, 0, 1], '8qRmTJas/6XEBaA0l4Wt1+/qSLgc6p7u7JzoMSuT/M8=', 3, 9, 0.08496000000000001, 0.07642, 0.0003862, 1.0, 0]"
"(4665891113, 410)","[[0, 0, 856191543, 856191550, 883571898], nan, 4665891113, 410, [5782512.0, 5782512.0, 5782512.0, nan, 2157964271.0], [0, 1, 2, 0, 1], '8qRmTJas/6XEBaA0l4Wt1+/qSLgc6p7u7JzoMSuT/M8=', 3, 9, 0.06189, 0.03821, 0.0003862, 1.0, 0]"
"(4665892165, 504)","[[0, 0, 3123434995, 3123435002, 3149365527], nan, 4665892165, 504, [8631300.0, 8631300.0, 8631300.0, nan, 1747195045.0], [0, 1, 2, 0, 1], '8qRmTJas/6XEBaA0l4Wt1+/qSLgc6p7u7JzoMSuT/M8=', 3, 9, 0.125, 0.07642, 0.0003862, 1.0, 0]"
"(4665896876, 481)","[[0, 0, 2644504576, 2644504583, 2669135639], nan, 4665896876, 481, [294985247.0, 294985247.0, 294985247.0, nan, 446225856.0], [0, 1, 2, 0, 1], '8qRmTJas/6XEBaA0l4Wt1+/qSLgc6p7u7JzoMSuT/M8=', 3, 9, 0.1038, 0.07642, 0.0003862, 1.0, 0]"
"(4665897416, 277)","[[0, 0, 3123434979, 3123434986, 3149365547], nan, 4665897416, 277, [8631300.0, 8631300.0, 8631300.0, nan, 329168536.0], [0, 1, 2, 0, 1], '8qRmTJas/6XEBaA0l4Wt1+/qSLgc6p7u7JzoMSuT/M8=', 3, 9, 0.1282, 0.07642, 0.0003862, 1.0, 0]"
"(4675059100, 1)","[[0, 0, 1496022566, 1496022573, 1497952530], nan, 4675059100, 1, [4820453791.0, 4820453791.0, 4820453791.0, nan, 4820453791.0], [0, 1, 2, 0, 1], 'r+GqsJ+R3Xf1GcCl4xSLnz1nFIeM+GR3qV6VBHL/YVc=', 0, 1, 0.125, 0.0318, 0.0001926, 0.0, 0]"
"(4695853952, 0)","[[0, 0, 2253107717, 2253107725, 2436669418, 2671228060, 2671228068, 2708545155], nan, 4695853952, 0, [nan, 345287259.0, 345287259.0, nan, 1094228.0, 1094228.0, nan, 32061387.0], [0, 1, 2, 0, 1, 2, 0, 1], 'VZy4kmJlotLqTAoVQRXdSN5DcuOWrTVLSBLiUgv4nSs=', 2, 0, 0.0625, 0.0159, 7.725e-05, 0.0, 0]"
"(4768896398, 0)","[[0, 0, 2460156217, 2460156224, 2462756596], nan, 4768896398, 0, [nan, 704544280.0, 704544280.0, nan, 3582469736.0], [0, 1, 2, 0, 1], 'txbj5VoYvQkoFH2I/PiA+rRHZO7OpAxqPgzLvfCqI8E=', 1, 0, 0.024990000000000002, 0.009949, 9.537e-06, 1.0, 0]"
"(4768896398, 16)","[[0, 0, 2452753573, 2452753580, 2455305698], nan, 4768896398, 16, [nan, 3582469736.0, 3582469736.0, nan, 705824.0], [0, 1, 2, 0, 1], 'txbj5VoYvQkoFH2I/PiA+rRHZO7OpAxqPgzLvfCqI8E=', 1, 0, 0.024990000000000002, 0.009949, 9.537e-06, 1.0, 0]"
"(4768896398, 18)","[[0, 0, 2241468536, 2241468543, 2247392626, 2461992813, 2461992820, 2464412801], nan, 4768896398, 18, [705824.0, 705824.0, 705824.0, nan, 2511817074.0, 2511817074.0, nan, 682467.0], [0, 1, 2, 0, 1, 2, 0, 1], 'txbj5VoYvQkoFH2I/PiA+rRHZO7OpAxqPgzLvfCqI8E=', 1, 0, 0.024990000000000002, 0.009949, 9.537e-06, 1.0, 0]"
