,cpu_requested,cpu_usage,mem_requested,mem_usage,time
1135,6847.7130937,2721.07089798,4981.80379432,2763.61389096,788050278669
1136,6854.0098207,2711.59056305,4911.32004409,2734.07312943,788243139709
1137,6680.2891255,2419.99075077,4758.95805429,2655.60655419,789174827571
1138,6747.7246969,2405.73109001,4745.68233209,2582.74053064,790092955947
1139,6718.8254229,2425.91791345,4717.41203629,2583.93258487,790156861146
1140,6716.5516529,2426.63713281,4715.49508629,2584.05977134,790159795384
1141,7011.3093869,2389.87579461,4997.33914229,2547.38501891,790261518932
1142,7006.1487389,2390.97929354,4995.60831429,2545.68636076,790270431064
1143,6933.3744719,2400.50835097,4948.39587329,2545.4403846,790309787000
1144,6832.5436249,2396.30719398,4879.27040509,2542.86222744,790384877690
1145,6821.8401069,2393.16899227,4868.82125209,2542.06034655,790403671164
1146,6681.7098409,2387.11903684,4666.03949329,2538.04576001,790457311560
1147,6690.2900409,2390.44684034,4670.99408129,2539.50001151,790478433198
1148,6690.0058329,2390.88018592,4670.76480929,2539.67038108,790479970083
1149,6682.2006289,2332.10630688,4661.51479269,2533.77433697,790514244018
1150,6657.6200039,2340.65652889,4668.19134129,2534.83846319,790660603976
1151,6760.4726379,2356.41728091,4732.41386729,2537.34266492,790732849320
1152,6760.4726379,2356.5821877,4732.41386729,2537.46869635,790734428408
1153,6759.3226179,2353.60633205,4731.74773729,2537.01962861,790744944278
1154,6757.8925979,2353.91569784,4730.76617129,2536.5331862,790756361250
1155,6757.5238459,2355.09337941,4730.58456869,2536.42586524,790763067637
1156,6749.7362659,2356.4204627,4726.51009869,2536.53127957,790782580919
1157,6665.5546549,2358.56264009,4758.13664969,2555.9848639,791311141929
1158,6669.2293266,2074.36211203,4596.51980232,2476.43060693,792377926706
1159,6665.2978486,2074.80084323,4593.57602732,2476.17025347,792382877794
1160,6476.0925526,2045.39370196,4345.93909372,2446.51181501,794507627234
1161,6584.6042736,2364.17231819,4534.28779292,2498.93365721,795347059282
1162,6831.9645449,2350.81808926,4918.58218072,2465.24410113,796459143284
1163,7031.0363583,2476.23784306,4929.39602892,2565.05664909,799256806552
1164,6731.783453,2119.3402912,4424.65695132,2555.50892498,803623601079
1165,6747.6634352,2174.2277958,4578.92462432,2581.82223195,805029808077
1166,6803.3563259,2171.12105755,4732.16169672,2507.32778708,805510701577
1167,6663.4311172,2113.66941597,4645.96928932,2483.96748148,805707351602
1168,7058.9193933,2311.06717879,4778.05601092,2550.41417627,806769883700
1169,7379.6295262,2682.31989772,5052.99090932,2732.48402632,809770203921
1170,6790.411783,2003.71866167,4867.56139151,2579.00878953,811418281281
1171,7153.927602,2375.93291551,4979.50974192,2649.96935454,812295319647
1172,7581.4916287,3392.99905316,5336.10278982,2939.94339205,815694996063
1173,7562.4009007,3525.99908219,5330.90479282,3010.43697371,815806071673
1174,7562.1447467,3526.30764265,5330.79100282,3010.52770327,815809762853
1175,7901.9761474,2799.88446209,5429.84815912,2979.71392215,817026198959
1176,7893.6207734,2783.82747163,5427.41035112,2972.62938487,817059205321
1177,7890.3043674,2793.16963399,5426.30452112,2973.84722541,817070771708
1178,8219.335348,2747.67105835,5736.98653872,2891.98885681,817986213111
1179,8484.487275,2607.59347188,5869.10547132,2924.82411886,819126933742
1180,8442.254813,2609.25315045,5826.63760272,2924.149008,819152892735
1181,8115.4517358,3132.86023454,5850.34271132,3057.98875657,820812426387
1182,8080.0586014,2969.33384343,5454.49883852,3039.55240954,821717305827
1183,8044.9361264,2983.76134417,5432.34749972,3040.0262332,821861863722
1184,8041.5441128,2896.46860786,6400.77680152,2895.67199178,826035755333
1185,8072.4102698,2932.50870757,6417.03355552,2920.57138905,827138144126
1186,8072.0295238,2933.34005709,6416.91979292,2920.53110911,827166673204
1187,8078.6193052,2932.1319522,6419.32492952,2920.17468424,827212798999
1188,8027.9059142,2938.36377623,6393.56757152,2920.16154884,827286268853
1189,8026.1398862,2938.64375655,6392.33390552,2920.12741155,827293681639
1190,8072.9692181,3018.63440173,6417.75046952,2934.86392047,827412411299
1191,8037.8696938,2878.74380905,6399.72417792,2924.39428293,827746994827
1192,8049.4506118,2879.32593068,6408.45566892,2924.59893478,827806662715
1193,8074.1617895,2875.87811,6414.35351192,2922.33697894,828057373384
1194,8073.9492895,2875.91704312,6414.25884392,2922.39961413,828059226921
1195,8116.9032886,2840.30964026,6406.73311952,2917.09548188,828145344725
1196,8159.3700571,2862.65590155,6428.77401692,2926.08790337,828410060091
1197,8099.9761911,2935.93275294,6399.45763652,2940.09491553,828802564258
1198,8087.4864411,2936.45952441,6399.43537852,2939.9411612,828838441268
