,cpu_available,cpu_requested,mem_available,mem_requested,time
30,6602.25,7684.5630159,5861.49873,6192.46209922,47413730411
31,6602.25,7669.8202079,5861.74793,6347.31300652,48848052273
32,6605.25,7656.196492,5864.24553,6337.03187052,49749708186
33,6605.25,7647.991031,5864.24553,6337.02534792,49849267544
34,6601.75,7667.3406487,5861.24843,6361.63602182,53767484448
35,6603.75,7574.038891,5862.99723,6307.44599442,55328194521
36,6600.75,7517.0167747,5860.24943,6252.09142752,57176741157
37,6601.25,7530.4458094,5860.49873,6265.36909098,57600357659
38,6600.75,7509.4248854,5859.99923,6246.05257812,57672057442
39,6599.75,7598.6963697,5859.25143,6358.38841372,58923037886
40,6600.75,7564.5908617,5860.25043,6314.75199812,59089598732
41,6602.25,7291.600013,5861.50073,6077.98030207,62409506234
42,6601.75,7530.407415,5861.00023,6226.42234372,63013488121
43,6598.75,7537.021235,5858.75383,6353.13393252,64050462313
44,6599.25,7577.7373197,5859.00313,6351.04788312,64262699343
45,6598.75,7584.0215387,5858.50363,6335.75275476,64621662831
46,6593.75,7482.9727767,5854.00843,6410.32078472,66994195134
47,6593.75,7457.8059624,5854.75833,6349.70912572,67550099812
48,6594.25,7452.5198287,5855.25883,6346.04990272,68267457104
49,6595.75,7579.3228534,5856.25593,6386.65759712,70758927539
50,6595.25,7617.3402496,5856.00663,6406.57698592,71089187880
51,6594.75,7657.0642676,5855.50713,6553.43036562,71297664896
52,6596.25,7568.546485,5856.75643,6400.33824546,72464112971
53,6597.75,7630.1972745,5858.00373,6673.20260382,74520357034
54,6596.75,7523.2981819,5857.00643,6471.05522982,75514359359
55,6597.25,7609.8153152,5857.75643,6427.83465382,77430464271
56,6595.25,7580.8295122,5855.75913,6459.49613542,78827868456
57,6596.25,7604.2564339,5856.25673,6468.47174782,79204236581
58,6595.75,7573.9298172,5855.75723,6443.49648122,79492079209
59,6596.25,7555.4839505,5856.50623,6439.64402942,79648137269
60,6595.25,7595.6181688,5855.75743,6460.48021182,80399781027
61,6595.25,7609.1372685,5855.75743,6463.96595241,80560434116
62,6594.75,7573.7707419,5855.50813,6499.31251742,81520510984
63,6594.25,7495.1345643,5854.51063,6434.69350182,84511618983
64,6592.75,7373.6760076,5853.25963,6567.07328652,87511420553
65,6592.25,7330.0426546,5853.01133,6550.61240902,87686144871
66,6593.75,7482.0484236,5854.50983,6556.36737542,88648624269
67,6593.25,7527.8878587,5853.25943,6601.78658082,89927064637
68,6591.75,7350.5803564,5852.01283,6580.35360087,91522966954
69,6593.75,7415.688652,5853.51043,6683.29108792,92511534806
70,6598.75,7386.9100056,5859.00373,6471.17348472,94693287584
71,6599.75,7414.8338566,5859.75253,6489.32585672,94840094144
72,6600.5,7548.9560241,5860.25153,6437.79335772,96478162967
73,6606.0,7486.940826,5863.99463,6576.89853732,102020381128
74,6605.5,6840.3035742,5864.24433,5127.65961052,103518031662
75,6603.5,6797.3813933,5861.74593,5072.56176612,105212219608
76,6607.0,6800.0285005,5864.99323,5069.90493152,105691724058
77,6607.5,7312.2511318,5865.49273,5251.30971842,107565231898
78,6608.0,7378.1991167,5865.99223,5283.72827741,107615914869
79,6608.5,7046.8590834,5866.49243,5223.39970802,109025468219
80,6607.5,7013.1791864,5865.74363,5156.27066682,109308200030
81,6605.75,6923.6676451,5863.74783,5132.32051222,111160265240
82,6607.25,6931.5407207,5865.74673,5131.49180142,111573447022
83,6606.75,6919.8273471,5865.24723,5126.09550132,111680610759
84,6607.75,6910.9485674,5866.49573,5118.03082752,111736932264
85,6610.75,6944.0556054,5868.99403,4939.89447982,113849185065
86,6611.25,6918.7883822,5869.49353,4923.01846882,113949633932
87,6610.75,7115.7980856,5868.49363,5466.59327681,114765991485
88,6610.75,6959.7743741,5868.99333,6005.20375542,116065722504
89,6611.75,7118.8023734,5870.24183,6114.55467742,116543296496
90,6614.25,7129.0914349,5872.74133,6138.01306902,118411592939
91,6614.25,6921.5684179,5871.99043,6121.07760902,119155124672
92,6614.0,7061.1362411,5871.98923,6194.87588036,123032719472
93,6613.0,7245.3283521,5871.24043,6266.77419172,124346611060
94,6614.0,7109.100924,5871.99023,6172.30655372,126019232433
95,6614.5,7210.5725296,5872.23953,6160.69298472,127235107725
96,6614.5,7182.0366506,5872.23953,6149.68233272,127255081101
97,6612.0,7196.3610292,5870.24143,6321.51653232,130855789078
98,6614.0,7090.0722569,5871.99023,6329.09768292,131822244075
99,6614.25,6981.5839026,5872.49023,5128.58801882,132813780507
100,6614.25,6912.5653063,5872.49023,5095.66482542,133359389519
101,6613.75,7562.1829676,5871.98903,5471.06515862,134555073586
102,6613.75,6978.2981781,5872.24023,5143.33606002,137772109652
103,6615.25,7025.5699161,5873.73873,5164.27578572,138967348756
104,6615.25,7392.2165368,5873.48853,6199.40984412,140173047933
105,6612.25,7141.949391,5870.73873,5848.34900142,143891048007
106,6614.75,6926.824318,5872.73683,5763.43386522,144918651586
107,6614.25,6841.562087,5872.23733,5704.05049622,145007413350
108,6613.75,6815.970933,5871.98803,5693.34571982,145151217502
109,6613.75,6714.8246218,5871.73783,5516.41875422,147405253335
110,6613.75,6709.3246218,5871.73783,5513.66589282,147408853172
111,6615.25,6745.9884845,5873.23733,5532.98483722,147947510502
112,6614.25,7099.6602703,5871.73863,6043.00959482,149444976021
113,6613.75,7042.9629223,5870.98893,6036.07944822,152024637489
114,6612.75,7620.3506147,5870.24013,6655.80121822,154228363521
115,6612.25,7547.9217197,5869.99083,6588.32241682,154426074507
116,6608.75,7162.0660357,5866.99443,6247.21938462,155524060890
117,6612.25,7055.5981607,5869.99253,6118.12696216,156926274548
118,6610.75,7122.4069005,5868.24453,6155.18346576,157546093722
119,6610.75,6992.3924696,5868.49473,6125.39950212,158407008545
120,6612.25,7048.5710893,5869.99253,6114.94735372,158733479426
121,6609.75,7018.1590951,5867.49573,6044.75373212,159808412977
122,6609.75,7040.2942188,5867.74523,6213.13833012,161993925785
123,6610.25,7204.1580198,5867.99453,6264.33808472,162360832349
124,6609.25,7218.1022231,5866.99553,6299.34317072,162851039995
125,6610.25,7149.1043344,5867.99453,6202.35153022,164248800400
126,6610.25,7085.0870824,5867.99453,6161.74423882,164621501529
127,6610.75,7071.6028541,5868.24383,6157.06097582,164691105049
128,6608.75,6873.8151044,5866.24583,6065.70998082,164994830462
129,6608.75,6749.2052968,5866.24583,5995.62932053,165913224797
130,6611.0,6867.8859339,5868.24333,6131.01051482,167958800868
131,6611.0,7007.4694479,5868.24333,6172.62345902,168235429462
132,6610.5,6736.2687299,5867.74383,5973.10329002,169156374242
133,6611.5,6733.7941386,5868.74283,5966.82716502,169406866765
134,6611.0,7209.3341464,5868.24233,6381.99282342,170265385213
135,6610.5,7323.6818128,5867.99303,6527.25561802,172104598490
136,6611.5,7156.9333218,5868.99303,6402.55164142,172671887120
137,6611.5,7316.0138712,5868.74083,6480.66843432,176316185127
138,6613.5,7460.8865179,5870.73983,6351.47007626,177860086270
139,6613.0,7512.9140357,5870.24033,6576.04896242,178930755671
140,6614.0,7511.5474257,5871.23933,6564.72868602,179047182331
141,6614.5,7505.8256777,5871.48863,6558.72479062,179081720584
142,6612.0,7517.5670437,5869.24133,6515.89893042,179835851007
143,6614.5,7354.6065167,5871.61353,6421.52046202,181090997983
144,6617.5,7463.7607629,5873.98523,6596.61623462,184333408406
145,6617.0,7416.1458422,5873.48573,6628.37281062,184717461467
146,6616.75,6898.8954494,5873.98663,6186.78822962,188484085921
147,6615.75,6902.2012512,5872.73743,6135.29319842,189694753689
148,6611.25,6728.8386647,5868.74333,5174.45509258,193166586372
149,6617.75,6783.2498814,5874.73643,5813.29818038,194737459316
150,6617.75,6816.2355644,5874.73643,5859.38670584,194822726660
151,6618.75,6669.8877547,5875.73543,5691.88314698,195880267695
152,6615.75,6854.9757578,5873.48903,5094.96085298,198607437867
153,6617.75,7145.4365817,5875.23783,5856.50005698,202624048449
154,6618.75,7107.184118,5875.73643,5759.38511898,203398941957
155,6619.25,7081.6561163,5876.23593,5745.08369478,203667827917
156,6617.75,7127.3473347,5874.98663,5810.92274458,205169837705
157,6620.75,7232.2411557,5877.98393,5693.47421661,208347389193
158,6620.75,7360.5726037,5877.98393,5869.77617562,208638191090
159,6619.75,7481.9750607,5877.23513,6052.38855642,209423128329
160,6619.75,7524.4262247,5877.23513,6118.17271762,210197475459
161,6618.5,7401.9823064,5875.73683,6068.56750192,210694610855
162,6619.0,7401.0818092,5876.23633,6103.47255092,211716441163
163,6616.5,7398.3203857,5873.23913,5991.09252182,214722119660
164,6617.0,7361.1119913,5873.73863,6023.32623142,216289841258
165,6616.5,7386.418368,5873.48933,5995.30475642,216570667552
166,6616.5,7310.4543266,5873.48933,5914.49728982,217483414259
167,6617.0,7462.8558256,5873.98883,6060.31501442,218054596503
168,6617.5,7360.8042203,5873.98793,6153.83443573,220934053141
